thscode,security_name
002430.SZ,杭氧股份
002432.SZ,九安医疗
002436.SZ,兴森科技
002444.SZ,巨星科技
002461.SZ,珠江啤酒
002465.SZ,海格通信
002472.SZ,双环传动
002487.SZ,大金重工
002500.SZ,山西证券
002508.SZ,老板电器
002517.SZ,恺英网络
002568.SZ,百润股份
002583.SZ,海能达
002601.SZ,龙佰集团
002603.SZ,以岭药业
002608.SZ,江苏国信
002624.SZ,完美世界
002670.SZ,国盛证券
002673.SZ,西部证券
002683.SZ,广东宏大
002738.SZ,中矿资源
002739.SZ,儒意电影
002756.SZ,永兴材料
002773.SZ,康弘药业
002797.SZ,第一创业
002812.SZ,恩捷股份
002821.SZ,凯莱英
002831.SZ,裕同科技
002841.SZ,视源股份
002850.SZ,科达利
002851.SZ,麦格米特
002926.SZ,华西证券
002939.SZ,长城证券
002945.SZ,华林证券
002966.SZ,苏州银行
002984.SZ,森麒麟
003021.SZ,兆威机电
003022.SZ,联泓新科
003031.SZ,中瓷电子
003035.SZ,南网能源
300001.SZ,特锐德
300002.SZ,神州泰岳
300003.SZ,乐普医疗
300012.SZ,华测检测
300017.SZ,网宿科技
300024.SZ,机器人
300037.SZ,新宙邦
300054.SZ,鼎龙股份
300058.SZ,蓝色光标
300073.SZ,当升科技
300100.SZ,双林股份
300115.SZ,长盈精密
300136.SZ,信维通信
300140.SZ,节能环境
300142.SZ,沃森生物
300144.SZ,宋城演艺
300146.SZ,汤臣倍健
300207.SZ,欣旺达
300223.SZ,君正股份
300285.SZ,国瓷材料
300339.SZ,润和软件
300346.SZ,南大光电
300373.SZ,扬杰科技
300383.SZ,光环新网
300390.SZ,天华新能
300395.SZ,菲利华
300432.SZ,富临精工
300454.SZ,深信服
300458.SZ,全志科技
300474.SZ,景嘉微
300475.SZ,香农芯创
300487.SZ,蓝晓科技
300496.SZ,中科创达
300548.SZ,长芯博创
300558.SZ,贝达药业
300567.SZ,精测电子
300570.SZ,太辰光
300604.SZ,长川科技
300620.SZ,光库科技
300623.SZ,捷捷微电
300627.SZ,华测导航
300666.SZ,江丰电子
300676.SZ,华大基因
300677.SZ,英科医疗
300679.SZ,电连技术
300699.SZ,光威复材
300718.SZ,长盛轴承
300724.SZ,捷佳伟创
300735.SZ,光弘科技
300748.SZ,金力永磁
300751.SZ,迈为股份
300757.SZ,罗博特科
300759.SZ,康龙化成
300763.SZ,锦浪科技
300857.SZ,协创数据
300888.SZ,稳健医疗
300919.SZ,中伟新材
300953.SZ,震裕科技
300957.SZ,贝泰妮
300972.SZ,万辰集团
301200.SZ,大族数控
301301.SZ,川宁生物
301358.SZ,湖南裕能
301377.SZ,鼎泰高科
301498.SZ,乖宝宠物
301526.SZ,国际复材
301536.SZ,星宸科技
301606.SZ,绿联科技
301611.SZ,珂玛科技
